2020-06-22 15:03:59 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
======================================
|             PageRank               |
======================================
2020-06-22 15:03:59 INFO  SparkContext:54 - Running Spark version 2.3.0
2020-06-22 15:04:00 INFO  SparkContext:54 - Submitted application: Wiki$
2020-06-22 15:04:00 INFO  SecurityManager:54 - Changing view acls to: root
2020-06-22 15:04:00 INFO  SecurityManager:54 - Changing modify acls to: root
2020-06-22 15:04:00 INFO  SecurityManager:54 - Changing view acls groups to: 
2020-06-22 15:04:00 INFO  SecurityManager:54 - Changing modify acls groups to: 
2020-06-22 15:04:00 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2020-06-22 15:04:00 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 36861.
2020-06-22 15:04:00 INFO  SparkEnv:54 - Registering MapOutputTracker
2020-06-22 15:04:00 INFO  SparkEnv:54 - Registering BlockManagerMaster
2020-06-22 15:04:00 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2020-06-22 15:04:00 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2020-06-22 15:04:00 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-3a6f49d5-c8d1-4a85-9060-035851b6d57d
2020-06-22 15:04:00 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2020-06-22 15:04:00 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2020-06-22 15:04:00 INFO  log:192 - Logging initialized @2020ms
2020-06-22 15:04:00 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2020-06-22 15:04:00 INFO  Server:414 - Started @2098ms
2020-06-22 15:04:00 INFO  AbstractConnector:278 - Started ServerConnector@55dc2f36{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2020-06-22 15:04:00 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@110844f6{/jobs,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@27494e46{/jobs/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@d59970a{/jobs/job,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@53b98ff6{/jobs/job/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3e6fd0b9{/stages,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7fcff1b9{/stages/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@697446d4{/stages/stage,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@36453307{/stages/stage/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7dcc91fd{/stages/pool,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@66eb985d{/stages/pool/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6a9287b1{/storage,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@75504cef{/storage/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:00 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c8a68c1{/storage/rdd,null,AVAILABLE,@Spark}
